personagem,tipo,url,descricao,habilidades,img_url
Zeno Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Zeno_Zoldyck,"Zeno é um homem idoso, porém ainda é um forte estrategista e usuário de Nen. Ele é calmo, pragmático e tem satisfação em ser um assassino eficiente. Ele só arrisca sua vida se houver uma recompensa a ser ganha. Zeno confia nas habilidades de Killua e respeita muito Isaac Netero, afirmando que Netero é muito mais poderoso e experiente do que ele.","['força imensa', 'Velocidade e reflexos imensos', 'Agilidade aprimorada', 'Alta Inteligência', 'Mestre combatente corpo a corpo', 'Cabeça de dragão', 'Lança do Dragão', 'Mergulho do Dragão', 'Cabeça de dragão', 'Lança do Dragão']",https://static.wikia.nocookie.net/hunterxhunter/images/8/88/Zeno_Portrait.png/revision/latest?cb=20130502181159
Illumi Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Illumi_Zoldyck,"O texto fala sobre o personagem Illumi, que tem uma expressão quase inexistente e um jeito de falar alegre. Ele é uma pessoa fria e calculista, mas possui um amor distorcido e superprotetor pelo seu irmão mais novo, Killua. Para garantir a sobrevivência e obediência de Killua, Illumi usa sua habilidade Nen e coloca uma agulha em seu cérebro para controlá-lo, além de criá-lo com a crença de que só consegue felicidade causando a morte dos outros.","['Velocidade Aprimorada', 'Resistência Avançada', 'Tolerância imensa à dor', 'Alta Inteligência', 'Mestre Arremessador', 'pessoas de agulha', 'Ilumi', 'Ilumi', 'Ilumi', 'Ilumi']",https://static.wikia.nocookie.net/hunterxhunter/images/7/70/139_-_Illumi_speaking_cheerfully.png/revision/latest?cb=20180904153152
Milluki Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Milluki_Zoldyck,"Milluki é uma pessoa de temperamento explosivo, egoísta e imaturo que ainda se refere aos seus pais como ""mama"" e ""papa"" e ao seu irmão mais velho, Illumi, como ""Illu-nii"" ou ""irmão mais velho Illumi"". Ele é um otaku que não saiu da propriedade da Família Zoldyck desde os 10 anos de idade. Milluki tem um lado peverso, fazendo com que ele recusasse um pedido de Alluka sem motivo aparente. No entanto, ele também é covarde, pois tem medo de desagradar a Killua, seu irmão mais novo, e de desobedecer a seu pai e avô. Em contraste com seus irmãos, Milluki passa a maior parte do tempo jogando em seus computadores em seu quarto. Ele tem muito orgulho de sua coleção de mangás, animes, jogos de vídeo e figurinhas, tanto que ameaçou Killua de morte caso ele sequer tocasse em sua coleção.","['Hacker e programador habilidoso', 'Inventor Habilidoso', 'nada de bom', 'assassino.', 'errático.', 'que', 'cabeça', 'assassinos de renome mundial?', 'Myllki Zaoldyeck', 'Família Zoldyck']",https://static.wikia.nocookie.net/hunterxhunter/images/4/4b/Milluki%27s_room_2011.jpg/revision/latest?cb=20120708030436
Alluka Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Alluka_Zoldyck,"Antes da apresentação formal de Alluka, Silva se refere a ela como uma criança sombria e incontrolável. Ele afirma que Alluka não tem alma por causa das circunstâncias de seu nascimento e não pode sentir emoções.","['Família Zoldyck', 'Família', 'Membros', 'Mordomos e outros criados', 'Ativo', 'Antigo', 'animais de estimação', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/5/51/Alluka_-_141.png/revision/latest?cb=20140806151645
Kalluto Zoldyck,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Kalluto_Zoldyck,"Kalluto tem uma personalidade quieta e obediente, mas torna-se mais falante após se juntar aos Spiders. Ele tem um bom relacionamento com sua mãe e bom controle emocional, mas mostrou ser brutal em uma luta contra uma Chimera Ant, além de ter o hábito de prolongar a batalha para brincar com suas vítimas.","['Velocidade Avançada', 'Agilidade Avançada', 'Mestre da Furtividade', 'eco de ritmo', 'Especialista em armas', 'Kalluto', 'Kalluto, Phinks Magcub, Shalnark, Feitan Portor, Shizuku Murasaki e Bonolenov Ndongo', 'papel.', 'errado', 'Calltt Zaoldyeck']",https://static.wikia.nocookie.net/hunterxhunter/images/2/2d/97_-_Kalluto.png/revision/latest?cb=20131018035337
Gotoh,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Gotoh,"Gotoh veio da Cidade Meteor*, um local habitado por excluídos que não existem em registros oficiais e são conhecidos por poucas pessoas. Ele se tornou um servo na família Zoldyck em algum momento.","['Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Elástico elástico', 'Velocidade do Relâmpago', 'Alta Inteligência', 'Elástico elástico', 'Mestre Arremessador', 'Elástico elástico', 'Hisoka Morow', 'Gon Freecs']",https://static.wikia.nocookie.net/hunterxhunter/images/f/f6/Gotoh_little_game.png/revision/latest?cb=20230321201136
Tsubone,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Tsubone,"Tsubone é uma mayordomo experiente da Família Zoldyck, extremamente leal a Silva, e a única serva que se atreve a chamar Killua e Alluka pelo diminutivo - ""Killua-chan"" e ""Alluka-chama"".","['Percepção Sobrenatural', 'velocidade imensa', 'Velocidade do Relâmpago', 'Agilidade aprimorada', 'Resistência Aprimorada', 'Alta Inteligência', 'Mestre da Furtividade', 'pessoas de agulha', 'Mestre em cauda', 'Boa Sorte Vá com Deus']",https://static.wikia.nocookie.net/hunterxhunter/images/7/7d/Tsubone_-_141.png/revision/latest?cb=20140810060932
Mike,Zoldyck Household,https://hunterxhunter.fandom.com/wiki/Mike,"Mike é um cão que passou por um treinamento rigoroso e sempre tenta memorizar a aparência e o cheiro de estranhos. Ele mostra pouco ou nenhum sentimento, sendo mais parecido com uma máquina do que com um animal vivo. Ele é difícil de controlar e, além dos comandos dos membros da família Zoldyck, não ouve ninguém. O comando que os Zoldycks deram a Mike há dez anos ainda é fielmente cumprido: matar todos os invasores. Apesar de leal e obediente, ele às vezes desobedece às ordens sobre comer entre as refeições, devorando qualquer invasor que encontrar.",[],https://static.wikia.nocookie.net/hunterxhunter/images/1/18/HxH2011_EP22_Mike_holding_the_skeletons.png/revision/latest?cb=20221013050109
Chrollo Lucilfer,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Chrollo_Lucilfer,"Chrollo é um líder nato, calmo, inteligente e carismático que consegue manter a Troupe unida apesar das personalidades voláteis dos membros. Ele é estrategista e confia em sua própria habilidade de lutar, bem como na dos outros membros da aranha. Sempre tem pelo menos dois companheiros com ele, o que dificulta a luta de Hisoka contra ele. Além disso, Chrollo tem interesse em livros antigos e, após adquirir os itens almejados, ele os vende.","['Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos imensos', 'Galeria falsa', 'Agilidade aprimorada', 'Intelecto de nível genial', 'Mestre Estrategista', 'Mestre combatente corpo a corpo', 'Especialista em armas proficiente', 'Caçador de habilidades']",https://static.wikia.nocookie.net/hunterxhunter/images/3/3b/43_-_Chrollo_talking_to_Uvogin.png/revision/latest?cb=20131115123249
Feitan Portor,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Feitan_Portor,"Feitan é o interrogador do grupo Phantom Troupe, habilidoso na arte da tortura. Ele fala pouco e tem uma gramática pobre, mas quando fica irritado ele fala em uma língua desconhecida.","['Força Aprimorada', 'Velocidade e reflexos imensos', 'pano divertido divertido', 'Agilidade imensa', 'Resistência Avançada', 'Resistência Aprimorada', 'Mestre Espadachim', 'Mestre Torturador', 'Pain Packer', 'Sol Nascente']",https://static.wikia.nocookie.net/hunterxhunter/images/e/ef/97_-_Feitan_speaks_inverted_Japanese.png/revision/latest?cb=20150927131525
Machi Komacine,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Machi_Komacine,"Machi é um membro frio da Troupe que raramente mostra emoções; no entanto, ela é uma pessoa boa de coração e se preocupa com os membros da Troupe. Ela é leal a Chrollo e desafiou outros membros da Troupe por causa dele, além de ter prometido caçar Hisoka se ele matar Chrollo. Machi é confiante em sua força e responde a ameaças de acordo.","['Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos imensos', 'Cadeia', 'Agilidade aprimorada', 'Resistência imensa', 'Controle Muscular', 'Intelecto Aguçado', 'Intuição imensa', 'Especialista em Furtividade']",https://static.wikia.nocookie.net/hunterxhunter/images/5/55/49_-_Machi_and_Nobunaga_argue.png/revision/latest?cb=20161231164928
Phinks Magcub,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Phinks_Magcub,"Phinks é impaciente e bastante implacável. Ele pode ser grosseiro e tem a tendência de entrar em conflito com outras pessoas, incluindo seus companheiros. Phinks parece se dar melhor com Feitan e é frequentemente visto trabalhando em parceria com ele, tanto dentro como fora do combate. Ele é muito leal a Chrollo, como mostrado quando foi o primeiro a tentar ir atrás de Kurapika depois que Chrollo foi capturado, apesar das objeções de outros membros.","['Percepção Sobrenatural', 'força imensa', 'Velocidade e reflexos imensos', 'Mestre combatente corpo a corpo', 'Especialista em Cauda', 'Phinks e Feitan Portor', 'Phinks e Feitan Portor', 'Phinks e Feitan Portor', 'Phinks', 'Phinks']",https://static.wikia.nocookie.net/hunterxhunter/images/b/b9/57_-_Phinks_lies_to_Kurapika.png/revision/latest?cb=20150712021237
Shizuku Murasaki,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Shizuku_Murasaki,"Não se sabe muito sobre o passado de Shizuku. Ela é originária de Meteor City e substituiu o antigo membro #8 da Troupe. Em uma ocasião, ela quase foi morta tentando ver as habilidades de Nen de Feitan.","['Força Aprimorada', 'Velocidade e reflexos aprimorados', 'banho de amor', 'Agilidade aprimorada', 'Intelecto Aguçado', 'Estrategista Proficiente', 'Blinky', 'Especialista em armas proficiente', 'Blinky', 'Blinky']",https://static.wikia.nocookie.net/hunterxhunter/images/7/7a/Blinky.png/revision/latest?cb=20221016001758
Franklin Bordeau,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Franklin_Bordeau,Franklin na sua juventude.,"['Força Aprimorada', 'Velocidade e reflexos avançados', 'Intelecto Aguçado', 'Combate mão-a-mão', 'Double Machine Gun (俺の両手は機関銃, My Ambidestros Machine Guns)', 'Franklin e Shizuku Murasaki', 'Franklin', 'Franklin, Phinks Magcub, Nobunaga Hazama e Feitan Portor', 'todos', 'meu']",https://static.wikia.nocookie.net/hunterxhunter/images/b/bd/Chap_395_-_Young_Franklin.png/revision/latest?cb=20221120222731
Nobunaga Hazama,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Nobunaga_Hazama,"Nobunaga é um membro do grupo de Troupe, às vezes bruto e em conflito com os outros membros. Ele é bom em lutar e raciocinar, mas tem dificuldades em tomar decisões impulsivas. Ele ficou preso quando o carro da Troupe foi armadilhado, mas se preparou para o ataque de Gon e Killua em vez de perseguir os meninos.","['Percepção Sobrenatural', 'Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Agilidade aprimorada', 'Intelecto Aguçado', 'Mestre Espadachim', 'Mestre Iaido', 'Nobunaga e Machi Komacine', 'Nobunaga, Phinks Magcub, Feitan Portor e Franklin Bordeau', 'Nobunaga']",https://static.wikia.nocookie.net/hunterxhunter/images/9/95/45_-_Nobunaga%27s_late_reaction.png/revision/latest?cb=20180227043616
Uvogin,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Uvogin,"Uvogin era um Enhancer típico: determinado, teimoso, simples e, às vezes, desrespeitoso. Ele era bárbaro em seu comportamento, considerando a dor como um incômodo. Como todos os membros da Tropa Fantasma, ele nunca hesitava em matar e não tinha remorso em fazê-lo. Ele gostava de matar pessoas que queriam vingança. Ele estava interessado apenas em treinamento físico e lutas, particularmente contra oponentes habilidosos. Ele preferia lutar sozinho, mas se tornava mais forte quando lutava com um parceiro, porque lutava melhor quando tinha alguém para proteger. Ele era leal a Chrollo e aos ideais da Tropa Fantasma, e não gostava de carregar dinheiro, acreditando que deveria roubar o que desejasse. Ele só se lembrava das pessoas que matava se elas tivessem um impacto duradouro. Ele era pontual e discutia com Nobunaga e Franklin sobre suas tardias.","['Força imensa', 'Velocidade e reflexos aprimorados', 'Cadeia', 'Agilidade Avançada', 'Durabilidade aprimorada', 'Hora do Imperador', 'Vigor Aprimorado', 'Resistência Aprimorada', 'Resistência Avançada a Toxinas', 'Estrategista Amador']",https://static.wikia.nocookie.net/hunterxhunter/images/1/16/UvoKissShalnark.png/revision/latest?cb=20121017012659
Pakunoda,Phantom Troupe,https://hunterxhunter.fandom.com/wiki/Pakunoda,"Em seus dias mais jovens, ela era gentil e atenciosa com seus amigos.","['Força Aprimorada', 'Velocidade Avançada', 'Agilidade aprimorada', 'Resistência Aprimorada', 'Intelecto Aguçado', 'Atirador Proficiente', 'bombas de memória', 'Especialista em Cauda', 'Especialista em CNV', 'bombas de memória']",https://static.wikia.nocookie.net/hunterxhunter/images/7/79/Chap_395_-_Young_Pakunoda.png/revision/latest?cb=20221120223137
Chimera Ant Queen,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Chimera_Ant_Queen,O tamanho da rainha Chimera Ant é maior que o normal e pode ser explicado por mutação ou por possuir material genético humano. Não se sabe como ela chegou em um arquipélago habitado por humanos ou como se feriu.,"['Meruem', 'formiga quimera', 'Família real', 'Membros', 'guarda Real', 'Membros', 'Exército', 'Líderes de Esquadrão', 'Oficiais', 'Soldados (peões e escravos)']",https://static.wikia.nocookie.net/hunterxhunter/images/1/18/Chimera_Ant_Queen_eating_fish.png/revision/latest?cb=20130426022729
Meruem,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Meruem,"Meruem era um líder cruel e violento, que se considerava superior a todas as outras formas de vida. Ele matava e devorava outros Chimera Ants que considerava desrespeitosos e via os humanos apenas como fonte de alimento, chegando a devorar uma criança logo após seu nascimento. Ele não tinha empatia pelos humanos e mostrava desrespeito até mesmo pela sua mãe moribunda.","['Força Insondável', 'Bodhisattva Guanyin Tipo 100', 'Velocidade e reflexos insondáveis', 'Bodhisattva Guanyin Tipo 100', 'Agilidade Insondável', 'resistência imensa', 'mão zero', 'Durabilidade insondável', 'mão zero', 'mão zero']",https://static.wikia.nocookie.net/hunterxhunter/images/7/71/91_-_Meruem%27s_cruel_nature.png/revision/latest?cb=20131008123029
Neferpitou,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Neferpitou,"Neferpitou era muito leal ao Rei e se sacrificaria por ele. De todos os Três Guardas Reais, Pitou era o mais curioso e facilmente distraído, gostava de brincar e, segundo Shaiapouf, acabavam se divertindo demais. Pitou era uma Chimera Ant de gato e gostava de brincar com seus oponentes, como um gato brinca com sua presa. Apesar de seu comportamento alegre e brincalhão, Pitou também tinha uma personalidade cruel e aterrorizante. Pitou levava a sério sua obrigação de proteger o Rei e estava disposto a renunciar à chance de lutar contra oponentes fortes para cumprir sua missão.","['Visão imensa', 'Audição imensa', 'cheiro imenso', 'força imensa', 'Velocidade e reflexos imensos', 'Bodhisattva Guanyin Tipo 100', 'Agilidade imensa', 'resistência imensa', 'Durabilidade imensa', 'Bodhisattva Guanyin Tipo 100']",https://static.wikia.nocookie.net/hunterxhunter/images/8/8b/Neferpitou_hesitates.png/revision/latest?cb=20131204134759
Shaiapouf,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Shaiapouf,"Shaiapouf, um dos três Guardas Reais, se apresentava como o mais calmo e racional, valorizando a lógica acima das emoções. Porém, sua devoção intensa ao Rei Chimera Ant obscurecia seu julgamento, fazendo com que ele tivesse um ideal absoluto e inflexível. Pouf também acreditava que o Rei deveria seguir esse ideal, resultando em monólogos fanáticos e ações traiçoeiras quando seu senhor parecia se desviar. Ele era visto frequentemente lendo livros e tocando violino, utilizando o instrumento para acalmar-se ou expressar emoções.","['Belzebu', 'Voo', 'Força Aprimorada', 'Mergulho do Dragão', 'velocidade imensa', 'Mergulho do Dragão', 'resistência imensa', 'Durabilidade imensa', 'Intelecto de Nível Gênio', 'mensagem espiritual']",https://static.wikia.nocookie.net/hunterxhunter/images/2/21/Pouf_plays_the_violin.png/revision/latest?cb=20131004134226
Menthuthuyoupi,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Menthuthuyoupi,"Menthuthuyoupi era a Guarda Real mais simples e sem ego, sem traços genéticos humanos e totalmente dedicado ao Rei. Sua simplicidade o tornava um bom soldado, mas também o fazia ser volátil e confuso diante das excentricidades dos outros guardas.","['Hakoware', 'Hakoware', 'Força Insondável', 'Velocidade e reflexos aprimorados', 'Durabilidade imensa', 'Intelecto Aguçado', 'Vínculo empático', 'pensar', 'décimo', 'profundo...']",https://static.wikia.nocookie.net/hunterxhunter/images/b/b7/108_-_Youpi%27s_reaction_to_Pouf.png/revision/latest?cb=20150722125419
Meleoron,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Meleoron,"O personagem é uma quimera que é excêntrica por não gostar de lutar ou matar. Ele fala de forma teatral e finge não estar interessado em certos assuntos, mas na verdade está muito interessado neles. Ele também é perspicaz e entende as emoções dos outros, como quando percebeu a tristeza de Killua durante a Invasão do Palácio.","['Camaleão Fisiologia', 'Velocidade Avançada', 'Resistência Avançada', 'Especialista em Furtividade', 'cúmplice de Deus', 'Plano Perfeito', 'Plano Perfeito', 'cúmplice de Deus', 'Meruem', 'real']",https://static.wikia.nocookie.net/hunterxhunter/images/3/39/Meleoron_anime.png/revision/latest?cb=20130505040422
Ikalgo,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Ikalgo,"Ikalgo é um observador detalhista que costuma planejar suas estratégias antes de lutar contra um inimigo. Ele tem um forte senso de honra e prefere morrer a trair um companheiro. Ele desenvolveu um forte vínculo com os membros da Equipe de Extermínio e Killua, principalmente por causa do apoio que ele recebeu de Killua, que o fez sentir-se validado e secure. Ikalgo tem um complexo de inferioridade em relação a sua aparência, pois deseja ter sido nasido como uma lula ""legal"", ao invés de um polvo ""feio"". Ele acha tocante que alguém chame-o, um polvo, de ""legal"" e, portanto, a traição não é uma opção para ele.","['Mergulho do Dragão', 'Fisiologia do Polvo', 'Força Avançada', 'Estrategista Proficiente', 'Mestre Atirador', 'motorista habilidoso', 'Fleadom', 'Living Dead Dolls (死体と遊ぶな子供たち, Não brinque com cadáveres de crianças)', 'Super Olho', 'Super Olho']",https://static.wikia.nocookie.net/hunterxhunter/images/e/ea/Ikalgo%27s_resolve_to_never_betray.png/revision/latest?cb=20131023071431
Leol,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Leol,"Pouco se sabe sobre o passado de Leol, exceto que ele se lembrava de sua vida passada como leão. Ele era um dos líderes do esquadrão da Rainha e mantinha humanos para si mesmo, mas deixou a colônia de formigas Chimera após a morte da Rainha para tentar criar seu próprio reino. Não se sabe se ele se lembrava de sua vida como humano.","['Força Aprimorada', 'Intelecto Aguçado', 'Inamura', 'Satellitonbo', 'Super Olho', 'tornado', 'Grande parede', 'Inamura', 'Inamura', 'Morel Mackernasey']",https://static.wikia.nocookie.net/hunterxhunter/images/a/a2/84_-_Leol%2C_Flutter_and_Hina_introduction.png/revision/latest?cb=20150801141259
Zazan,Chimera Ants,https://hunterxhunter.fandom.com/wiki/Zazan,Zazan aparece.,"['ferrão venenoso', 'Força Aprimorada', 'Velocidade e reflexos aprimorados', 'Durabilidade aprimorada', 'Combate corpo-a-corpo proficiente', 'Sol Nascente', 'Feitan Portor', 'formiga quimera', 'Família real', 'Membros']",https://static.wikia.nocookie.net/hunterxhunter/images/8/88/Zazan_1.png/revision/latest?cb=20140211004249
